"Trans_X","Trans_Y","Lon","Lat","Line","StopName"
-8367257.39044637,4861878.29688433,-75.164352,39.972028,"G1","Girard Av & 17th St"
-8367085.29051361,4861849.24536943,-75.162806,39.971828,"G1","Girard Av & 16th St"
-8366727.73230918,4861791.14259467,-75.159594,39.971428,"G1","Girard Av & Broad St"
-8366307.16727296,4861723.88905744,-75.155816,39.970965,"G1","Girard Av & 12th St"
-8366129.72400464,4861693.53069851,-75.154222,39.970756,"G1","Girard Av & 11th St"
-8365664.40853312,4861651.98783145,-75.150042,39.97047,"G1","Girard Av & 8th St"
-8365460.58254548,4861639.78646296,-75.148211,39.970386,"G1","Girard Av & 7th St"
-8365113.59969268,4861602.45617866,-75.145094,39.970129,"G1","Girard Av & 5th St"
-8364724.53807235,4861541.74029621,-75.141599,39.969711,"G1","Girard Av & 3rd St"
-8364524.83090587,4861502.23159603,-75.139805,39.969439,"G1","Girard Av & 2nd St"
-8364141.11262111,4861416.82361967,-75.136358,39.968851,"G1","Girard Av & Front St"
-8363933.50177078,4861387.6282044,-75.134493,39.96865,"G1","Frankford Av & Girard Av - FS"
-8363933.39045129,4861020.73194557,-75.134492,39.966124,"G1","Frankford Av & Richmond St"
-8363932.61121485,4860830.17201703,-75.134485,39.964812,"G1","Frankford Av & Delaware Av"
-8363895.7644634,4860849.48928224,-75.134154,39.964945,"G1","Frankford Av & Delaware Av Loop"
-8363916.69252767,4860887.25246563,-75.134342,39.965205,"G1","Frankford Av & Delaware Av - FS"
-8363916.2472497,4861003.88351183,-75.134338,39.966008,"G1","Frankford Av & Richmond St"
-8363905.78321757,4861417.40462383,-75.134244,39.968855,"G1","Girard Av & Frankford Av- FS"
-8363493.67846265,4861601.43940246,-75.130542,39.970122,"G1","Girard Av & Columbia Av"
-8363268.47913278,4861705.73213305,-75.128519,39.97084,"G1","Girard Av & Palmer St"
-8362987.95401598,4861831.9597584,-75.125999,39.971709,"G1","Girard Av & Berks St"
-8362294.43358834,4862017.74533914,-75.119769,39.972988,"G1","Girard Av & Richmond St"
-8362117.65823696,4862186.97448014,-75.118181,39.974153,"G1","Richmond St & Cumberland St"
-8361844.81416502,4862374.07408978,-75.11573,39.975441,"G1","Richmond St & Huntingdon St"
-8361574.53044138,4862561.17722561,-75.113302,39.976729,"G1","Richmond St & Lehigh Av"
-8361305.69387111,4862743.05415063,-75.110887,39.977981,"G1","Richmond St & Somerset St"
-8361101.42260551,4862878.5923966,-75.109052,39.978914,"G1","Richmond St & Cambria St"
-8360932.66225746,4863001.20307934,-75.107536,39.979758,"G1","Richmond St & Ann St"
-8360541.15160834,4863269.52818639,-75.104019,39.981605,"G1","Richmond St & Clearfield St"
-8360265.63586863,4863454.03314515,-75.101544,39.982875,"G1","Richmond St & Allegheny Av"
-8360043.99876246,4863654.23216885,-75.099553,39.984253,"G1","Richmond St & Westmoreland St Loop"
-8376341.61749256,4863593.93958513,-75.245957,39.983838,"T1","63rd-Malvern"
-8376458.72559687,4863573.45471835,-75.247009,39.983697,"T1","Malvern Av & 63rd St"
-8376419.98641408,4863168.85094253,-75.246661,39.980912,"T1","63rd St & Lebanon Av"
-8376366.88701697,4862796.65908779,-75.246184,39.97835,"T1","63rd St & Jefferson St"
-8376233.526267,4862358.24021295,-75.244986,39.975332,"T1","Lansdowne Av & 63rd - FS"
-8376084.91474679,4862382.49946573,-75.243651,39.975499,"T1","Lansdowne Av & 62nd St"
-8375887.6566091,4862410.68094758,-75.241879,39.975693,"T1","Lansdowne Av & 61st St"
-8375720.56605342,4862433.63293521,-75.240378,39.975851,"T1","Lansdowne Av & 60th St"
