Line,StopName,Lon,Lat
BSL,Broad-Spring Garden,-75.161471,39.962392
BSL,Race-Vine,-75.162601,39.95703
BSL,15th/City Hall,-75.164129,39.952473
BSL,Walnut-Locust,-75.164462,39.948734
BSL,Lombard-South,-75.165471,39.944077
BSL,Ellsworth-Federal,-75.167177,39.936182
BSL,Tasker-Morris,-75.16857,39.929813
BSL,Snyder,-75.169758,39.92438
BSL,Oregon,-75.171414,39.916789
BSL,NRG Station,-75.17391,39.905433
BSL,NRG Station,-75.173804,39.905424
BSL,Oregon,-75.171332,39.91678
BSL,Snyder,-75.169652,39.924371
BSL,Tasker-Morris,-75.168475,39.929804
BSL,Ellsworth-Federal,-75.167082,39.936173
BSL,Lombard-South,-75.165377,39.944068
BSL,Walnut-Locust,-75.164368,39.948734
BSL,15th/City Hall,-75.164059,39.952464
BSL,Race-Vine,-75.162589,39.957021
BSL,Broad-Spring Garden,-75.161388,39.962374
BSL,8th-Market,-75.153542,39.951138
BSL,Chinatown,-75.1527,39.955027
BSL,Fairmount,-75.160379,39.96703
BSL,Broad-Girard,-75.159393,39.971464
BSL,Cecil B. Moore,-75.157842,39.978663
BSL,Susquehanna-Dauphin,-75.156027,39.987022
BSL,North Philadelphia,-75.154547,39.993935
BSL,Broad-Allegheny,-75.152828,40.001589
BSL,Erie,-75.151155,40.009234
BSL,Hunting Park,-75.149482,40.016933
BSL,Wyoming,-75.147809,40.02456
BSL,Logan,-75.146485,40.030617
BSL,Olney Transit Center,-75.144678,40.039039
BSL,Fern Rock Transit Center,-75.136757,40.04185
MFL,69th St Transit Center,-75.258555,39.962338
MFL,Millbourne,-75.252243,39.96432
MFL,63rd St,-75.246767,39.962714
MFL,60th St,-75.240757,39.961956
MFL,56th St,-75.232859,39.960962
MFL,52nd St,-75.224889,39.959976
MFL,46th St,-75.214028,39.958619
MFL,40th St,-75.201963,39.957117
MFL,34th St,-75.19148,39.95583
MFL,Drexel Station at 30th S,-75.183276,39.954814
MFL,15th St/City Hall,-75.165286,39.952573
MFL,13th St,-75.16145,39.952065
MFL,11th St,-75.158322,39.951693
MFL,8th-Market,-75.153589,39.951102
MFL,5th St/Independence Hall,-75.148939,39.95053
MFL,2nd St,-75.143758,39.949795
MFL,Spring Garden,-75.140337,39.960533
MFL,Front-Girard,-75.136146,39.968877
MFL,Berks,-75.133448,39.978626
MFL,York-Dauphin,-75.131942,39.985512
MFL,Huntingdon,-75.127274,39.988803
MFL,Somerset,-75.122489,39.991424
MFL,Kensington-Allegheny,-75.11344,39.996471
MFL,Tioga,-75.106439,40.000291
MFL,Erie-Torresdale,-75.096404,40.005825
MFL,Church,-75.088651,40.010901
MFL,Arrott Transit Center,-75.083802,40.016564
MFL,Frankford Transit Center,-75.077861,40.022929
MFL,Frankford Transit Center,-75.078038,40.023063
MFL,Arrott Transit Center,-75.083885,40.016609
MFL,Church,-75.088758,40.010937
MFL,Erie-Torresdale,-75.096463,40.005888
MFL,Tioga,-75.106498,40.000354
MFL,Kensington-Allegheny,-75.113499,39.996534
MFL,Somerset,-75.122548,39.991487
MFL,Huntingdon,-75.127332,39.988866
MFL,York-Dauphin,-75.132084,39.985539
MFL,Berks,-75.133566,39.978626
MFL,Front-Girard,-75.136252,39.968895
MFL,Spring Garden,-75.140467,39.960551
MFL,2nd St,-75.143746,39.949858
MFL,5th St/Independence Hall,-75.148939,39.950601
MFL,8th-Market,-75.153589,39.951174
MFL,11th St,-75.158322,39.951764
MFL,13th St,-75.16145,39.952137
MFL,15th St/City Hall,-75.165286,39.952645
MFL,Drexel Station at 30th S,-75.183252,39.954886
MFL,34th St,-75.19148,39.955901
MFL,40th St,-75.201963,39.957188
MFL,46th St,-75.214028,39.958691
MFL,52nd St,-75.224925,39.96003
MFL,56th St,-75.232847,39.961042
MFL,60th St,-75.240757,39.962027
MFL,63rd St,-75.246767,39.962786
MFL,Millbourne,-75.252243,39.964391
MFL,69th St Transit Center,-75.258602,39.962526
MFL,69th St Transit Center,-75.258555,39.962338
K,Arrott Transit Center,-75.084202,40.016869
K,Arrott St & Leiper St,-75.086195,40.017927
K,Arrott St & Oakland St,-75.088446,40.01921
K,Arrott St & Horrocks St,-75.089602,40.019873
K,Arrott St & Large St,-75.091393,40.021029
K,Arrott St & Castor Av,-75.093667,40.022517
K,Arrott St & Adams Av,-75.094799,40.023261
K,Adams Av & Ramona Av,-75.095354,40.024004
K,Adams Av & Roosevelt Blvd,-75.096878,40.025971
K,Roosevelt Blvd & Langdon St,-75.098525,40.027823
K,Roosevelt Blvd & Tower Blvd - FS,-75.101085,40.029484
K,Adams Av & Whitaker Av - FS,-75.10415,40.030792
K,Adams Av & Montour St,-75.10541,40.031794
K,Adams Av & Tabor Rd,-75.1068,40.03311
K,Adams Av & Foulkrod St,-75.108409,40.035283
K,Adams Av & Hill Creek Dr - FS,-75.108909,40.037239
