number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
0,0,1530,859,265000,2023-04-21T04:00:00Z,N,1925,SRID=2272;POINT(2708748.04896252 247022.324547927),2705 E ANN ST,12.487485104968359
2,3,1356,1803,115000,2024-12-30T05:00:00Z,N,1950,SRID=2272;POINT(2691351.16003219 278523.541605188),7823 RUGBY ST,11.652687407345388
1,3,1040,1300,33433,2024-08-27T04:00:00Z,N,1915,SRID=2272;POINT(2693623.97293509 272927.823142744),5814 CRITTENDEN ST,10.417298715142485
3,10,4320,2016,360000,2024-11-20T05:00:00Z,N,1915,SRID=2272;POINT(2692940.93112879 248358.939355384),1835 DIAMOND ST,12.793859310432293
1,3,896,700,37100,2024-11-13T05:00:00Z,NA,1920,SRID=2272;POINT(2687848.11556332 227141.659835731),1928 S BONSALL ST,10.521372248595526
1,4,1520,1120,32500,2024-08-22T04:00:00Z,NA,1920,SRID=2272;POINT(2672587.31166179 239538.708995822),5837 ARCH ST,10.388995368317829
2,3,1236,969,220000,2024-11-01T04:00:00Z,N,1920,SRID=2272;POINT(2673332.75117047 242364.831797995),1225 N ALDEN ST,12.301382825334498
0,0,1848,29494,533000,2023-04-04T04:00:00Z,Y,1965,SRID=2272;POINT(2724005.26760706 290315.786991153),720 STRATFORD DR,13.186276703147982
1,3,1350,1163,40000,2024-11-03T04:00:00Z,N,1942,SRID=2272;POINT(2706183.1817944 263140.422973518),5019 D ST,10.596634733096073
1,3,1110,971,170000,2024-12-24T05:00:00Z,NA,1920,SRID=2272;POINT(2690837.84202808 264044.741384108),5230 MARION ST,12.043553716032399
0,0,1596,1638,77000,2024-11-01T04:00:00Z,N,1915,SRID=2272;POINT(2673604.47907448 244962.904264154),1675 N 56TH ST,11.251560700835821
2,3,1160,974,210000,2024-12-19T05:00:00Z,Y,1925,SRID=2272;POINT(2675410.89725644 231514.806312066),5533 BEAUMONT ST,12.254862809699606
1,3,960,1221,77000,2024-10-09T04:00:00Z,NA,1920,SRID=2272;POINT(2672914.21631605 221763.247030437),7129 BUIST AVE,11.251560700835821
1,3,1056,837,25900,2024-08-27T04:00:00Z,NA,1910,SRID=2272;POINT(2693773.24620014 257663.243403422),1944 W CAREY ST,10.16199824768763
1,3,1360,1992,111600,2024-07-17T04:00:00Z,NA,1925,SRID=2272;POINT(2676219.6827444 223335.803420799),6502 BOBOLINK PL,11.622676328929348
1,3,1192,1283,20500,2024-08-06T04:00:00Z,N,1920,SRID=2272;POINT(2705677.02201183 250639.422965248),1921 E CAMBRIA ST,9.9281801651265
2,3,2150,3641,339900,2024-11-26T05:00:00Z,N,1950,SRID=2272;POINT(2714241.09179638 272413.487300072),6705 OXFORD AVE,12.736406735684207
1,3,1531,1121,40000,2024-12-20T05:00:00Z,Y,1920,SRID=2272;POINT(2698148.1639492 242010.934005138),948 N RANDOLPH ST,10.596634733096073
2,3,1088,1750,138000,2024-09-04T04:00:00Z,N,1920,SRID=2272;POINT(2674940.14651112 247027.256858006),1736 N PEACH ST,11.835008964139341
1,2,888,682,119900,2024-11-27T05:00:00Z,N,1925,SRID=2272;POINT(2679210.62705915 241734.389418187),894 N 46TH ST,11.694413341015606
1,3,960,1028,230000,2024-11-01T04:00:00Z,NA,1920,SRID=2272;POINT(2674104.57356852 221882.431593187),2705 S 70TH ST,12.345834587905333
1,3,1568,1434,55000,2024-09-10T04:00:00Z,N,1905,SRID=2272;POINT(2697285.94356151 269994.501741155),1551 W CHAMPLOST AVE,10.915088464214607
2,3,1200,900,179000,2024-10-09T04:00:00Z,Y,1940,SRID=2272;POINT(2699445.67451335 258639.427200391),4048 N FRANKLIN ST,12.095141084822892
2,4,1744,1380,295000,2024-03-17T04:00:00Z,Y,1915,SRID=2272;POINT(2686637.82338503 247090.366265328),3210 CLIFFORD ST,12.594730635321957
4,6,3068,7308,275000,2024-11-06T05:00:00Z,NA,1925,SRID=2272;POINT(2674180.75074809 250271.45513407),2291 N 53RD ST,12.524526376648708
